travel_time,Date,Time
844,3/2/2010,10:58:00
819,3/2/2010,11:01:00
849,3/2/2010,11:04:00
830,3/2/2010,11:07:00
845,3/2/2010,11:10:00
828,3/2/2010,11:13:00
826,3/2/2010,11:16:00
832,3/2/2010,11:19:00
827,3/2/2010,11:22:00
822,3/2/2010,11:25:00
849,3/2/2010,11:28:00
826,3/2/2010,11:31:00
843,3/2/2010,11:34:00
796,3/2/2010,11:37:00
789,3/2/2010,11:40:00
825,3/2/2010,11:43:00
824,3/2/2010,11:46:00
846,3/2/2010,11:49:00
850,3/2/2010,11:52:00
798,3/2/2010,11:55:00
803,3/2/2010,11:58:00
816,3/2/2010,12:01:00
813,3/2/2010,12:04:00
837,3/2/2010,12:07:00
845,3/2/2010,12:10:00
776,3/2/2010,12:13:00
776,3/2/2010,12:16:00
824,3/2/2010,12:19:00
842,3/2/2010,12:22:00
869,3/2/2010,12:25:00
798,3/2/2010,12:28:00
805,3/2/2010,12:31:00
817,3/2/2010,12:34:00
820,3/2/2010,12:37:00
799,3/2/2010,12:40:00
826,3/2/2010,12:43:00
823,3/2/2010,12:46:00
812,3/2/2010,12:49:00
797,3/2/2010,12:52:00
829,3/2/2010,12:55:00
773,3/2/2010,12:58:00
805,3/2/2010,13:01:00
831,3/2/2010,13:04:00
813,3/2/2010,13:07:00
815,3/2/2010,13:10:00
811,3/2/2010,13:13:00
796,3/2/2010,13:16:00
818,3/2/2010,13:19:00
816,3/2/2010,13:22:00
830,3/2/2010,13:25:00
807,3/2/2010,13:28:00
827,3/2/2010,13:31:00
830,3/2/2010,13:34:00
810,3/2/2010,13:37:00
815,3/2/2010,13:40:00
848,3/2/2010,13:43:00
838,3/2/2010,13:46:00
816,3/2/2010,13:49:00
815,3/2/2010,13:52:00
830,3/2/2010,13:55:00
848,3/2/2010,13:58:00
828,3/2/2010,14:01:00
880,3/2/2010,14:04:00
872,3/2/2010,14:07:00
810,3/2/2010,14:10:00
817,3/2/2010,14:13:00
871,3/2/2010,14:16:00
838,3/2/2010,14:19:00
820,3/2/2010,14:22:00
846,3/2/2010,14:25:00
873,3/2/2010,14:28:00
813,3/2/2010,14:31:00
828,3/2/2010,14:34:00
804,3/2/2010,14:37:00
809,3/2/2010,14:40:00
799,3/2/2010,14:43:00
774,3/2/2010,14:46:00
807,3/2/2010,14:49:00
826,3/2/2010,14:52:00
801,3/2/2010,14:55:00
785,3/2/2010,14:58:00
795,3/2/2010,15:01:00
847,3/2/2010,15:04:00
812,3/2/2010,15:07:00
837,3/2/2010,15:10:00
840,3/2/2010,15:13:00
829,3/2/2010,15:16:00
802,3/2/2010,15:19:00
828,3/2/2010,15:22:00
852,3/2/2010,15:25:00
838,3/2/2010,15:28:00
839,3/2/2010,15:31:00
817,3/2/2010,15:34:00
836,3/2/2010,15:37:00
853,3/2/2010,15:40:00
814,3/2/2010,15:43:00
834,3/2/2010,15:46:00
789,3/2/2010,15:49:00
824,3/2/2010,15:52:00
830,3/2/2010,15:55:00
845,3/2/2010,15:58:00
871,3/2/2010,16:01:00
871,3/2/2010,16:04:00
833,3/2/2010,16:07:00
851,3/2/2010,16:10:00
854,3/2/2010,16:13:00
884,3/2/2010,16:16:00
907,3/2/2010,16:19:00
905,3/2/2010,16:22:00
1089,3/2/2010,16:25:00
1188,3/2/2010,16:28:00
911,3/2/2010,16:31:00
885,3/2/2010,16:34:00
896,3/2/2010,16:37:00
932,3/2/2010,16:40:00
850,3/2/2010,16:43:00
900,3/2/2010,16:46:00
895,3/2/2010,16:49:00
883,3/2/2010,16:52:00
870,3/2/2010,16:55:00
892,3/2/2010,16:58:00
922,3/2/2010,17:01:00
936,3/2/2010,17:04:00
876,3/2/2010,17:07:00
875,3/2/2010,17:10:00
882,3/2/2010,17:13:00
832,3/2/2010,17:16:00
852,3/2/2010,17:19:00
844,3/2/2010,17:22:00
859,3/2/2010,17:25:00
834,3/2/2010,17:28:00
879,3/2/2010,17:31:00
897,3/2/2010,17:34:00
898,3/2/2010,17:37:00
968,3/2/2010,17:40:00
906,3/2/2010,17:43:00
828,3/2/2010,17:46:00
807,3/2/2010,17:49:00
822,3/2/2010,17:52:00
843,3/2/2010,17:55:00
843,3/2/2010,17:58:00
842,3/2/2010,18:01:00
887,3/2/2010,18:04:00
825,3/2/2010,18:07:00
845,3/2/2010,18:10:00
830,3/2/2010,18:13:00
833,3/2/2010,18:16:00
841,3/2/2010,18:19:00
864,3/2/2010,18:22:00
841,3/2/2010,18:25:00
805,3/2/2010,18:28:00
825,3/2/2010,18:31:00
819,3/2/2010,18:34:00
817,3/2/2010,18:37:00
829,3/2/2010,18:40:00
818,3/2/2010,18:43:00
790,3/2/2010,18:46:00
826,3/2/2010,18:49:00
848,3/2/2010,18:52:00
842,3/2/2010,18:55:00
802,3/2/2010,18:58:00
767,3/2/2010,19:01:00
803,3/2/2010,19:04:00
793,3/2/2010,19:07:00
815,3/2/2010,19:10:00
789,3/2/2010,19:13:00
864,3/2/2010,19:16:00
822,3/2/2010,19:19:00
804,3/2/2010,19:22:00
832,3/2/2010,19:25:00
819,3/2/2010,19:28:00
790,3/2/2010,19:31:00
837,3/2/2010,19:34:00
853,3/2/2010,19:37:00
839,3/2/2010,19:40:00
788,3/2/2010,19:43:00
809,3/2/2010,19:46:00
855,3/2/2010,19:49:00
803,3/2/2010,19:52:00
787,3/2/2010,19:55:00
783,3/2/2010,19:58:00
808,3/2/2010,20:01:00
798,3/2/2010,20:04:00
833,3/2/2010,20:07:00
810,3/2/2010,20:10:00
821,3/2/2010,20:13:00
815,3/2/2010,20:16:00
807,3/2/2010,20:19:00
802,3/2/2010,20:22:00
826,3/2/2010,20:25:00
824,3/2/2010,20:28:00
799,3/2/2010,20:31:00
812,3/2/2010,20:34:00
797,3/2/2010,20:37:00
802,3/2/2010,20:40:00
787,3/2/2010,20:43:00
806,3/2/2010,20:46:00
807,3/2/2010,20:49:00
785,3/2/2010,20:52:00
820,3/2/2010,20:55:00
801,3/2/2010,20:58:00
790,3/2/2010,21:01:00
809,3/2/2010,21:04:00
784,3/2/2010,21:07:00
818,3/2/2010,21:10:00
770,3/2/2010,21:13:00
800,3/2/2010,21:16:00
805,3/2/2010,21:19:00
803,3/2/2010,21:22:00
798,3/2/2010,21:25:00
787,3/2/2010,21:28:00
824,3/2/2010,21:31:00
820,3/2/2010,21:34:00
790,3/2/2010,21:37:00
804,3/2/2010,21:40:00
803,3/2/2010,21:43:00
793,3/2/2010,21:46:00
821,3/2/2010,21:49:00
790,3/2/2010,21:52:00
817,3/2/2010,21:55:00
793,3/2/2010,21:58:00
792,3/2/2010,22:01:00
822,3/2/2010,22:04:00
802,3/2/2010,22:07:00
780,3/2/2010,22:10:00
793,3/2/2010,22:13:00
797,3/2/2010,22:16:00
807,3/2/2010,22:19:00
780,3/2/2010,22:22:00
768,3/2/2010,22:25:00
791,3/2/2010,22:28:00
800,3/2/2010,22:31:00
814,3/2/2010,22:34:00
794,3/2/2010,22:37:00
793,3/2/2010,22:40:00
757,3/2/2010,22:43:00
777,3/2/2010,22:46:00
764,3/2/2010,22:49:00
789,3/2/2010,22:52:00
765,3/2/2010,22:55:00
776,3/2/2010,22:58:00
755,3/2/2010,23:01:00
767,3/2/2010,23:04:00
792,3/2/2010,23:07:00
759,3/2/2010,23:10:00
746,3/2/2010,23:13:00
748,3/2/2010,23:16:00
784,3/2/2010,23:19:00
752,3/2/2010,23:22:00
762,3/2/2010,23:25:00
750,3/2/2010,23:28:00
793,3/2/2010,23:31:00
761,3/2/2010,23:34:00
761,3/2/2010,23:37:00
782,3/2/2010,23:40:00
777,3/2/2010,23:43:00
777,3/2/2010,23:46:00
771,3/2/2010,23:49:00
765,3/2/2010,23:52:00
756,3/2/2010,23:55:00
770,3/2/2010,23:58:00
740,3/3/2010,0:01:00
772,3/3/2010,0:04:00
766,3/3/2010,0:07:00
704,3/3/2010,0:10:00
723,3/3/2010,0:13:00
764,3/3/2010,0:16:00
741,3/3/2010,0:19:00
775,3/3/2010,0:22:00
760,3/3/2010,0:25:00
733,3/3/2010,0:28:00
738,3/3/2010,0:31:00
754,3/3/2010,0:34:00
799,3/3/2010,0:37:00
766,3/3/2010,0:40:00
773,3/3/2010,0:43:00
758,3/3/2010,0:46:00
745,3/3/2010,0:49:00
750,3/3/2010,0:52:00
787,3/3/2010,0:55:00
761,3/3/2010,0:58:00
753,3/3/2010,1:01:00
778,3/3/2010,1:04:00
752,3/3/2010,1:07:00
764,3/3/2010,1:10:00
779,3/3/2010,1:13:00
792,3/3/2010,1:16:00
785,3/3/2010,1:19:00
749,3/3/2010,1:22:00
757,3/3/2010,1:25:00
764,3/3/2010,1:28:00
755,3/3/2010,1:31:00
785,3/3/2010,1:34:00
769,3/3/2010,1:37:00
773,3/3/2010,1:40:00
750,3/3/2010,1:43:00
763,3/3/2010,1:46:00
755,3/3/2010,1:49:00
714,3/3/2010,1:52:00
750,3/3/2010,1:55:00
787,3/3/2010,1:58:00
764,3/3/2010,2:01:00
749,3/3/2010,2:04:00
771,3/3/2010,2:07:00
726,3/3/2010,2:10:00
756,3/3/2010,2:13:00
747,3/3/2010,2:16:00
768,3/3/2010,2:19:00
752,3/3/2010,2:22:00
718,3/3/2010,2:25:00
774,3/3/2010,2:28:00
751,3/3/2010,2:31:00
721,3/3/2010,2:34:00
708,3/3/2010,2:37:00
734,3/3/2010,2:40:00
717,3/3/2010,2:43:00
788,3/3/2010,2:46:00
717,3/3/2010,2:49:00
789,3/3/2010,2:52:00
768,3/3/2010,2:55:00
756,3/3/2010,2:58:00
745,3/3/2010,3:01:00
738,3/3/2010,3:04:00
715,3/3/2010,3:07:00
760,3/3/2010,3:10:00
771,3/3/2010,3:13:00
731,3/3/2010,3:16:00
726,3/3/2010,3:19:00
780,3/3/2010,3:22:00
732,3/3/2010,3:25:00
711,3/3/2010,3:28:00
784,3/3/2010,3:31:00
778,3/3/2010,3:34:00
699,3/3/2010,3:37:00
773,3/3/2010,3:40:00
776,3/3/2010,3:43:00
761,3/3/2010,3:46:00
763,3/3/2010,3:49:00
759,3/3/2010,3:52:00
731,3/3/2010,3:55:00
742,3/3/2010,3:58:00
726,3/3/2010,4:01:00
706,3/3/2010,4:04:00
726,3/3/2010,4:07:00
733,3/3/2010,4:10:00
746,3/3/2010,4:13:00
714,3/3/2010,4:16:00
753,3/3/2010,4:19:00
707,3/3/2010,4:22:00
724,3/3/2010,4:25:00
769,3/3/2010,4:28:00
730,3/3/2010,4:31:00
766,3/3/2010,4:34:00
725,3/3/2010,4:37:00
723,3/3/2010,4:40:00
730,3/3/2010,4:43:00
754,3/3/2010,4:46:00
747,3/3/2010,4:49:00
768,3/3/2010,4:52:00
780,3/3/2010,4:55:00
734,3/3/2010,4:58:00
760,3/3/2010,5:01:00
729,3/3/2010,5:04:00
749,3/3/2010,5:07:00
731,3/3/2010,5:10:00
758,3/3/2010,5:13:00
742,3/3/2010,5:16:00
751,3/3/2010,5:19:00
755,3/3/2010,5:22:00
749,3/3/2010,5:25:00
749,3/3/2010,5:28:00
757,3/3/2010,5:31:00
751,3/3/2010,5:34:00
757,3/3/2010,5:37:00
722,3/3/2010,5:40:00
733,3/3/2010,5:43:00
762,3/3/2010,5:46:00
753,3/3/2010,5:49:00
744,3/3/2010,5:52:00
743,3/3/2010,5:55:00
770,3/3/2010,5:58:00
759,3/3/2010,6:01:00
775,3/3/2010,6:04:00
750,3/3/2010,6:07:00
759,3/3/2010,6:10:00
772,3/3/2010,6:13:00
767,3/3/2010,6:16:00
737,3/3/2010,6:19:00
768,3/3/2010,6:22:00
818,3/3/2010,6:25:00
858,3/3/2010,6:28:00
833,3/3/2010,6:31:00
832,3/3/2010,6:34:00
775,3/3/2010,6:37:00
800,3/3/2010,6:40:00
788,3/3/2010,6:43:00
767,3/3/2010,6:46:00
785,3/3/2010,6:49:00
825,3/3/2010,6:52:00
844,3/3/2010,6:55:00
848,3/3/2010,6:58:00
801,3/3/2010,7:01:00
797,3/3/2010,7:04:00
819,3/3/2010,7:07:00
860,3/3/2010,7:10:00
836,3/3/2010,7:13:00
860,3/3/2010,7:16:00
858,3/3/2010,7:19:00
856,3/3/2010,7:22:00
833,3/3/2010,7:25:00
877,3/3/2010,7:28:00
882,3/3/2010,7:31:00
846,3/3/2010,7:34:00
866,3/3/2010,7:37:00
820,3/3/2010,7:40:00
878,3/3/2010,7:43:00
890,3/3/2010,7:46:00
869,3/3/2010,7:49:00
878,3/3/2010,7:52:00
839,3/3/2010,7:55:00
894,3/3/2010,7:58:00
986,3/3/2010,8:01:00
851,3/3/2010,8:04:00
861,3/3/2010,8:07:00
817,3/3/2010,8:10:00
876,3/3/2010,8:13:00
889,3/3/2010,8:16:00
890,3/3/2010,8:19:00
870,3/3/2010,8:22:00
857,3/3/2010,8:25:00
875,3/3/2010,8:28:00
856,3/3/2010,8:31:00
827,3/3/2010,8:34:00
845,3/3/2010,8:37:00
902,3/3/2010,8:40:00
867,3/3/2010,8:43:00
858,3/3/2010,8:46:00
848,3/3/2010,8:49:00
853,3/3/2010,8:52:00
838,3/3/2010,8:55:00
852,3/3/2010,8:58:00
826,3/3/2010,9:01:00
824,3/3/2010,9:04:00
837,3/3/2010,9:07:00
811,3/3/2010,9:10:00
833,3/3/2010,9:13:00
837,3/3/2010,9:16:00
832,3/3/2010,9:19:00
850,3/3/2010,9:22:00
839,3/3/2010,9:25:00
857,3/3/2010,9:28:00
845,3/3/2010,9:31:00
863,3/3/2010,9:34:00
850,3/3/2010,9:37:00
823,3/3/2010,9:40:00
828,3/3/2010,9:43:00
864,3/3/2010,9:46:00
1011,3/3/2010,9:49:00
1161,3/3/2010,9:52:00
919,3/3/2010,9:55:00
855,3/3/2010,9:58:00
817,3/3/2010,10:01:00
827,3/3/2010,10:04:00
842,3/3/2010,10:07:00
806,3/3/2010,10:10:00
786,3/3/2010,10:13:00
824,3/3/2010,10:16:00
805,3/3/2010,10:19:00
831,3/3/2010,10:22:00
799,3/3/2010,10:25:00
794,3/3/2010,10:28:00
818,3/3/2010,10:31:00
860,3/3/2010,10:34:00
838,3/3/2010,10:37:00
853,3/3/2010,10:40:00
851,3/3/2010,10:43:00
835,3/3/2010,10:46:00
871,3/3/2010,10:49:00
848,3/3/2010,10:52:00
824,3/3/2010,10:55:00
861,3/3/2010,10:58:00
839,3/3/2010,11:01:00
801,3/3/2010,11:04:00
790,3/3/2010,11:07:00
802,3/3/2010,11:10:00
828,3/3/2010,11:13:00
813,3/3/2010,11:16:00
826,3/3/2010,11:19:00
816,3/3/2010,11:22:00
825,3/3/2010,11:25:00
835,3/3/2010,11:28:00
782,3/3/2010,11:31:00
803,3/3/2010,11:34:00
837,3/3/2010,11:37:00
843,3/3/2010,11:40:00
836,3/3/2010,11:43:00
828,3/3/2010,11:46:00
835,3/3/2010,11:49:00
850,3/3/2010,11:52:00
839,3/3/2010,11:55:00
842,3/3/2010,11:58:00
796,3/3/2010,12:01:00
809,3/3/2010,12:04:00
838,3/3/2010,12:07:00
818,3/3/2010,12:10:00
842,3/3/2010,12:13:00
839,3/3/2010,12:16:00
821,3/3/2010,12:19:00
848,3/3/2010,12:22:00
826,3/3/2010,12:25:00
826,3/3/2010,12:28:00
825,3/3/2010,12:31:00
843,3/3/2010,12:34:00
826,3/3/2010,12:37:00
828,3/3/2010,12:40:00
821,3/3/2010,12:43:00
802,3/3/2010,12:46:00
851,3/3/2010,12:49:00
819,3/3/2010,12:52:00
800,3/3/2010,12:55:00
828,3/3/2010,12:58:00
843,3/3/2010,13:01:00
823,3/3/2010,13:04:00
823,3/3/2010,13:07:00
799,3/3/2010,13:10:00
830,3/3/2010,13:13:00
785,3/3/2010,13:16:00
